,id,username,created_at,date,Sentiment,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
17,1.51E+18,RoboMarkets,1.65E+12,29/3/2022 21:07,0,"🏎️ Are you ready to start the 2022 #racing season? ⠀ We are happy to introduce our pilot @Philipp_Eng and new car BMW M4 GT3 #25. ⠀ ▶️ Join @RoboMarkets, a Premium partner of @BMWMotorsport -  https://t.co/b2EYr9xRxY ⠀ Let's cheer for Philipp in new #DTM season together!  https://t.co/kVus4AxRro",en,"['racing', 'dtm']",[],https://twitter.com/RoboMarkets/status/1508792974796333056,['http://gorobo.pro/uzs'],['https://pbs.twimg.com/media/FPBPJz3XIAMchzt.jpg'],1,https://pbs.twimg.com/media/FPBPJz3XIAMchzt.jpg,0,0,0
18,1.51E+18,BMW,1.65E+12,29/3/2022 21:07,0,@LynPaul6 Hi Lyn. Your Vehicle Identification Number (VIN) is a unique code used by BMW to identify each car sold. You can find your VIN number on your vehicle registration papers or stamped on your vehicle either on the driver-side front door jamb or the windshields lower-left corner.,en,[],[],https://twitter.com/BMW/status/1508792865673121797,[],[],0,,0,1,0
21,1.51E+18,BMW,1.65E+12,29/3/2022 20:51,,"@JohnDavidEde Sometimes love just can't be explained rationally 😉 Thanks for sharing, David! 💙",en,[],[],https://twitter.com/BMW/status/1508788872485998592,[],[],0,,0,0,0
22,1.51E+18,BMW,1.65E+12,29/3/2022 20:25,-1,"@LynPaul6 Hi Lyn, we are very sorry to hear about this. In order for our Customer Service team to assist further, please can you send us a DM with your name, address (including country), email address, phone number and the VIN of the vehicle.",en,[],[],https://twitter.com/BMW/status/1508782321369026561,[],[],0,,0,0,0
27,1.51E+18,Motorsport,1.65E+12,29/3/2022 19:52,-1,"The new BMW M4 GT3 is a major improvement over its bulkier predecessor but it won't be able to win races ""right away"" in the #DTM, says factory driver Sheldon van der Linde.   https://t.co/3y2GX64sAV",en,['dtm'],[],https://twitter.com/Motorsport/status/1508774044933713924,['https://www.motorsport.com/dtm/news/bmw-m4-win-races-van-der-linde/9222772/'],[],0,,35,0,3
30,1.51E+18,dailystar,1.65E+12,29/3/2022 19:42,0,Porn star Mia Malkova flaunts new car after making £2.2million in a year  #OnlyFans #Supercar #BMW #Money    https://t.co/4k9dnPsqfW,en,"['onlyfans', 'supercar', 'bmw', 'money']",[],https://twitter.com/dailystar/status/1508771465482625029,['https://www.dailystar.co.uk/real-life/mia-malkova-flaunts-new-car-26582420'],[],0,,3,3,1
33,1.51E+18,CampaignAsia,1.65E+12,29/3/2022 18:28,,"Why Hans Zimmer's BMW score is irritatingly good: Real car fanatics and BMW drivers want a cacophony of automotive magic, writes the co-founder of DLMDD.  https://t.co/ufaDAiNNvJ  https://t.co/VyZvkfUQbo",en,[],[],https://twitter.com/CampaignAsia/status/1508752841665568768,['https://buff.ly/3IUQ2JW'],['https://pbs.twimg.com/media/FPAqtojWYAIVUGu.jpg'],1,https://pbs.twimg.com/media/FPAqtojWYAIVUGu.jpg,0,0,0
35,1.51E+18,RobbReport,1.65E+12,29/3/2022 18:02,1,"From BMW to Ducati, these bikes have raised the bar on form and function through the ages.  https://t.co/PKaQDOWfUY",en,[],[],https://twitter.com/RobbReport/status/1508746345544392706,['https://robbreport.com/motors/motorcycles/lists/greatest-motorcycles-last-century-2940928/'],[],0,,2,0,0
36,1.51E+18,GeorgeMienie,1.65E+12,29/3/2022 18:00,1,"Like many automotive companies, @BMW_SA’s future is electric  https://t.co/MrNLofhNVF",en,[],[],https://twitter.com/GeorgeMienie/status/1508746014219452419,[],['https://pbs.twimg.com/media/FPAkgVkWQAEyFHR.jpg'],1,https://pbs.twimg.com/media/FPAkgVkWQAEyFHR.jpg,0,0,0
40,1.51E+18,trent_dan,1.65E+12,29/3/2022 17:50,,@lewiscraik @BMW_UK @DS_UK_Official That is an awesome combo. But we both already knew it!,en,[],[],https://twitter.com/trent_dan/status/1508743279483006980,[],[],0,,1,0,0
42,1.51E+18,Official_WSR,1.65E+12,29/3/2022 17:36,0,We haven’t had the green light yet due to fog. So here’s @StephenJelley’s BMW.  https://t.co/QoR4qmBaT2,en,[],[],https://twitter.com/Official_WSR/status/1508739836106219521,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1508739776496742408/pu/img/wLP5rrNEr46xBIWo.jpg,45,2,5
43,1.51E+18,trent_dan,1.65E+12,29/3/2022 17:26,,"@lewiscraik @BMW_UK @DS_UK_Official Haha, do you actually live on my road?",en,[],[],https://twitter.com/trent_dan/status/1508737426491166722,[],[],0,,0,1,0
44,1.51E+18,trent_dan,1.65E+12,29/3/2022 17:08,,@ScarbroMatt @BMW_UK @DS_UK_Official That works!,en,[],[],https://twitter.com/trent_dan/status/1508732805525688320,[],[],0,,0,0,0
45,1.51E+18,BMW,1.65E+12,29/3/2022 17:01,0,One team. One passion. Commemorating 50 years of #BMWM 💙💜❤️ Watch the full film 👉  https://t.co/SsOvi6FbeZ #BMW #WeAreM  https://t.co/Uo3ckVJh27,en,"['bmwm', 'bmw', 'wearem']",[],https://twitter.com/BMW/status/1508731020450963460,['https://b.mw/50Years'],[],1,https://pbs.twimg.com/amplify_video_thumb/1508730932462825474/img/KU6dy_8ubxoPaAoQ.jpg,272,3,31
46,1.51E+18,BMWGroup,1.65E+12,29/3/2022 17:00,1,"BMW iFACTORY will use data science and artificial intelligence for faster, more accurate and more transparent production. We will merge the real and virtual world. This will be a real game changer and our answer to the Metaverse. #BMWGroup  https://t.co/FSy3tIVByB",en,['bmwgroup'],[],https://twitter.com/BMWGroup/status/1508730892277141506,[],[],1,https://pbs.twimg.com/amplify_video_thumb/1508730833921794048/img/2kkWGYhvPG0Rwr7O.jpg,52,1,7
47,1.51E+18,GeorgeMienie,1.65E+12,29/3/2022 16:00,-1,@BMW_SA will soon stop producing cars with V12 engines...  https://t.co/UxShtEAvTU,en,[],[],https://twitter.com/GeorgeMienie/status/1508715798558384130,[],['https://pbs.twimg.com/media/FPAJBi2XwAEPJXM.jpg'],1,https://pbs.twimg.com/media/FPAJBi2XwAEPJXM.jpg,0,0,0
57,1.51E+18,LondonEconomic,1.65E+12,29/3/2022 15:10,,"According to Mirror reports he forgot to mention his Range Rover, BMW and Lexus when telling MPs he drives a beat up hatchback.   https://t.co/Ml3EB18rc1  #RishiSunak",en,['rishisunak'],[],https://twitter.com/LondonEconomic/status/1508703181894729732,['https://www.thelondoneconomic.com/politics/disbelief-as-sunak-tells-mps-he-drives-an-ageing-vw-golf-317657/'],[],0,,17,0,20
58,1.51E+18,BMWMotorradSA,1.65E+12,29/3/2022 15:09,1,"The BMW R 1250 GS Adventure is made for impassable routes, adverse conditions and the most remote destinations. ​  No destination is too far. No terrain is too tough.​  So, where are you headed?  #MakeLifeARide #SpiritOfGS #R1250GSA  https://t.co/9rLyi6MJf5",en,"['makelifearide', 'spiritofgs', 'r1250gsa']",[],https://twitter.com/BMWMotorradSA/status/1508702758127480835,[],['https://pbs.twimg.com/media/FO_9KRaWQAA1oSO.jpg'],1,https://pbs.twimg.com/media/FO_9KRaWQAA1oSO.jpg,6,1,1
61,1.51E+18,_pallavighosh,1.65E+12,29/3/2022 14:48,,@Iyervval @Olacabs @Suhelseth @dsen68 Oh wow - a humble poor man like  needs BMW and 5 star hotels for food ! #strangebengalimenwhims,en,['strangebengalimenwhims'],[],https://twitter.com/_pallavighosh/status/1508697652984451075,[],[],0,,6,1,0
62,1.51E+18,Iyervval,1.65E+12,29/3/2022 14:44,,Wow! Elitist classist casteist privilege knows no bounds! While a poor inter-caste transperson such as myself goes begging for my daily meal in a BMW as part of @Olacabs corporate social responsibility- I am mocked by Lutyens Jaat Elites! Cc @Suhelseth @dsen68 #Shocking,en,['shocking'],[],https://twitter.com/Iyervval/status/1508696626772135940,[],[],0,,137,7,13
63,1.51E+18,BMW,1.65E+12,29/3/2022 14:42,1,@hakymaqua That's music to our ears 😉,en,[],[],https://twitter.com/BMW/status/1508696156917964800,[],[],0,,2,0,0
64,1.51E+18,coyleneil,1.65E+12,29/3/2022 14:30,,"When asked what car they have, most people don’t forget to mention their Range Rover, Lexus and BMW. Either the Chancellor thinks people are very stupid or is very, very forgetful himself.",en,[],[],https://twitter.com/coyleneil/status/1508692952536817667,[],[],0,,57,3,15
67,1.51E+18,letsdroom,1.65E+12,29/3/2022 14:16,-1,".@bmwindia all set to increase price from April 1  #BMW to hike prices by up to 3.5% across the entire model range  The price hike is to adjust the material &amp; logistics costs, the impact of the current geopolitical situation &amp; exchange rates  https://t.co/Xfuyjry59Q  https://t.co/MeuPuaIMuq",en,['bmw'],[],https://twitter.com/letsdroom/status/1508689622880055298,['https://bit.ly/3iHtm50'],['https://pbs.twimg.com/media/FO_xNJaVsAAxhts.jpg'],1,https://pbs.twimg.com/media/FO_xNJaVsAAxhts.jpg,0,0,0
69,1.51E+18,BMW,1.65E+12,29/3/2022 13:55,,"@snotmossel Simply astounding 💙 Sean, thank you so much for sharing this! 👏",en,[],[],https://twitter.com/BMW/status/1508684173896306689,[],[],0,,0,0,0
70,1.51E+18,BMW,1.65E+12,29/3/2022 13:54,,"@Mikesandoval If we fell down and saw that, we may never get up again 😆",en,[],[],https://twitter.com/BMW/status/1508683936293167107,[],[],0,,0,0,0
71,1.51E+18,BMW,1.65E+12,29/3/2022 13:52,,@NileBolin Of course 😎😍,en,[],[],https://twitter.com/BMW/status/1508683515960909826,[],[],0,,0,0,0
72,1.51E+18,BMW,1.65E+12,29/3/2022 13:51,,@DDDickie Even spoiling us with a view to go alongside that incredible machine 😍,en,[],[],https://twitter.com/BMW/status/1508683335412953090,[],[],0,,2,0,0
74,1.51E+18,BMW,1.65E+12,29/3/2022 13:50,,@Jas_3y Everyone's finding this question easy today 😆 good choice though 😍,en,[],[],https://twitter.com/BMW/status/1508682979966697473,[],[],0,,1,0,0
75,1.51E+18,BMW,1.65E+12,29/3/2022 13:49,1,@byungalionel Sleek beauty 💙,en,[],[],https://twitter.com/BMW/status/1508682809635975168,[],[],0,,0,0,0
76,1.51E+18,BMW,1.65E+12,29/3/2022 13:49,,@TshephangSeboko Wow we've seen some great colours on these today! This is no exception 💙,en,[],[],https://twitter.com/BMW/status/1508682632250511360,[],[],0,,0,0,0
77,1.51E+18,BMW,1.65E+12,29/3/2022 13:47,,@DjShepeluk Love those lines 😍 we knew this one would be a popular choice when we started talking about side profile 😉 Thanks for sharing Douglas! 👏,en,[],[],https://twitter.com/BMW/status/1508682207921160199,[],[],0,,0,0,0
78,1.51E+18,BMW,1.65E+12,29/3/2022 13:45,,@GwendolynVondo1 Oh we will have to agree with you Gwendolyn 👌 that is beautiful! 😍,en,[],[],https://twitter.com/BMW/status/1508681687856734209,[],[],0,,2,0,0
79,1.51E+18,BMW,1.65E+12,29/3/2022 13:44,,@Lixsnyper Always pleasing to see 😍,en,[],[],https://twitter.com/BMW/status/1508681418456588296,[],[],0,,1,0,0
80,1.51E+18,BMW,1.65E+12,29/3/2022 13:43,,"@Namohp121 Not only can we not deny, we 100% approve 😎",en,[],[],https://twitter.com/BMW/status/1508681251925995523,[],[],0,,1,1,0
81,1.51E+18,BMW,1.65E+12,29/3/2022 13:42,,@awsordie1992 Oh yesssss 🔥,en,[],[],https://twitter.com/BMW/status/1508681067569496067,[],[],0,,0,0,0
82,1.51E+18,BMW,1.65E+12,29/3/2022 13:41,,@car_shair Ready to go 🔥,en,[],[],https://twitter.com/BMW/status/1508680698319749125,[],[],0,,0,0,0
83,1.51E+18,BMW,1.65E+12,29/3/2022 13:40,,@Jagmeet87439161 Lovely 😍 Yours?,en,[],[],https://twitter.com/BMW/status/1508680507336368133,[],[],0,,1,0,0
84,1.51E+18,BMW,1.65E+12,29/3/2022 13:39,,@SATCHEL_P It's actually a little-known fact that this picture causes chronic drooling... 🤤,en,[],[],https://twitter.com/BMW/status/1508680349425057799,[],[],0,,0,0,0
85,1.51E+18,BMW,1.65E+12,29/3/2022 13:38,,@adebolaogedeng1 Wowww this is making us all kinds of nostalgic 💙,en,[],[],https://twitter.com/BMW/status/1508679856711770113,[],[],0,,1,1,0
86,1.51E+18,BMW,1.65E+12,29/3/2022 13:36,,@torreyhill41 Very nice! 🔥 We are holding back the urge to try and touch it through the screen 😍,en,[],[],https://twitter.com/BMW/status/1508679565622841344,[],[],0,,1,0,0
87,1.51E+18,BMW,1.65E+12,29/3/2022 13:35,,@luimelf Looks ready to go 😎,en,[],[],https://twitter.com/BMW/status/1508679260965425154,[],[],0,,0,0,0
89,1.51E+18,BMW,1.65E+12,29/3/2022 13:34,1,"@lanciastratos3 They say sometimes ""Old is Gold"" and in this case we are going to have to wholeheartedly agree 😍",en,[],[],https://twitter.com/BMW/status/1508679051795443714,[],[],0,,0,0,0
90,1.51E+18,BMW,1.65E+12,29/3/2022 13:33,1,@SlonovoOko Such a hugely loved design 💙,en,[],[],https://twitter.com/BMW/status/1508678824657043457,[],[],0,,0,0,0
91,1.51E+18,BMW,1.65E+12,29/3/2022 13:33,,@jdmgord Correct answer 😎,en,[],[],https://twitter.com/BMW/status/1508678615633965066,[],[],0,,2,0,0
92,1.51E+18,BMW,1.65E+12,29/3/2022 13:32,1,"@sbhimaniM3 What a shot! 📸 Even if the rims didn't match the road lines or the background, we could stare at this for quite some time 😜",en,[],[],https://twitter.com/BMW/status/1508678412755521541,[],[],0,,1,0,0
93,1.51E+18,BMW,1.65E+12,29/3/2022 13:30,1,"@EloyLaraJr1 When palm trees are reflected in the windows of your BMW, you know you are about to have a nice drive 💙",en,[],[],https://twitter.com/BMW/status/1508678030876622852,[],[],0,,0,0,0
94,1.51E+18,BMW,1.65E+12,29/3/2022 13:29,,@mrgeoffedwards It's pretty close to taking out the #1 spot now! Thanks for sharing Geoff 👏,en,[],[],https://twitter.com/BMW/status/1508677769689022465,[],[],0,,0,0,0
95,1.51E+18,BMW,1.65E+12,29/3/2022 13:28,1,"@Abdulha47761896 One for all and all for one 😆 what a great shot, all so beautiful 😍",en,[],[],https://twitter.com/BMW/status/1508677543771230210,[],[],0,,0,0,0
96,1.51E+18,BMW,1.65E+12,29/3/2022 13:26,1,@Bharath_SivaRam Sleek beauty 🔥,en,[],[],https://twitter.com/BMW/status/1508676909252726785,[],[],0,,1,0,0
97,1.51E+18,BMW,1.65E+12,29/3/2022 13:25,,@sixlysick MANY will agree with you 👌 and maybe we do too 😉,en,[],[],https://twitter.com/BMW/status/1508676775458525187,[],[],0,,1,0,1
100,1.51E+18,BMW,1.65E+12,29/3/2022 13:23,1,"@BuGeorges It reached legendary status in record time, didn't it 🔥",en,[],[],https://twitter.com/BMW/status/1508676223597219848,[],[],0,,0,0,0
101,1.51E+18,BMW,1.65E+12,29/3/2022 13:22,1,@benji_909 VERY popular choice today 😎,en,[],[],https://twitter.com/BMW/status/1508676011117924358,[],[],0,,0,0,0
102,1.51E+18,BMW,1.65E+12,29/3/2022 13:22,1,@dbdorr1977 And it still looks incredibly luxurious to this day 😍 What beautiful lines 💙 Thanks for sharing David!,en,[],[],https://twitter.com/BMW/status/1508675850564259846,[],[],0,,0,0,0
103,1.51E+18,BMW,1.65E+12,29/3/2022 13:20,1,"@Parth_Go Sometimes you just have to pull over and take a picture, don't you 😆 we love it! Thanks for sharing 👏",en,[],[],https://twitter.com/BMW/status/1508675541288857601,[],[],0,,1,0,0
104,1.51E+18,BMW,1.65E+12,29/3/2022 13:19,,@1771arch_Brian Seems to be in the top 3 choices today!,en,[],[],https://twitter.com/BMW/status/1508675312602779652,[],[],0,,1,0,0
105,1.51E+18,BMW,1.65E+12,29/3/2022 13:19,,@klotz_nugget Wow 😍 that colour and the lighting in that shot do the lines a lot of justice 🔥Thanks so much for sharing Anthony! Is this/was this yours?,en,[],[],https://twitter.com/BMW/status/1508675125960454147,[],[],0,,1,1,0
106,1.51E+18,BMW,1.65E+12,29/3/2022 13:17,1,@BMW_Partisan Stunning from all angles 😍,en,[],[],https://twitter.com/BMW/status/1508674781692014592,[],[],0,,1,0,0
107,1.51E+18,BMW,1.65E+12,29/3/2022 13:17,,@BrokaVikas Love it 😍 Thanks for sharing Vikas! 👏,en,[],[],https://twitter.com/BMW/status/1508674571544764421,[],[],0,,0,0,0
108,1.51E+18,BMW,1.65E+12,29/3/2022 13:15,,@EmmanuelMalisha We like how you think Emmanuel 😜,en,[],[],https://twitter.com/BMW/status/1508674073806749697,[],[],0,,0,0,0
109,1.51E+18,BMW,1.65E+12,29/3/2022 12:48,1,@kevinp2494 The i8 is definitely tied in the top 3 for today 👌 not that that's surprising 😉 thanks for sharing this with us Kevin! 👏,en,[],[],https://twitter.com/BMW/status/1508667378619621377,[],[],0,,0,0,0
110,1.51E+18,BMW,1.65E+12,29/3/2022 12:46,1,"@TobyMoody The photo caption already has the word ""perfection"" so we are just going to sit here and admire it for a little while 🔥",en,[],[],https://twitter.com/BMW/status/1508666921390063616,[],[],0,,7,0,0
111,1.51E+18,BMW,1.65E+12,29/3/2022 12:45,,@TheScreenCapt These are the kind of images that make us want to drop everything and go for a drive...🔥,en,[],[],https://twitter.com/BMW/status/1508666521756868612,[],[],0,,1,0,0
112,1.51E+18,BMW,1.65E+12,29/3/2022 12:43,,@OL1968X An icon 👏,en,[],[],https://twitter.com/BMW/status/1508666089063989249,[],[],0,,0,0,0
113,1.51E+18,BMW,1.65E+12,29/3/2022 12:36,,@StewartKing It's actually on page 1 of the manual that you need to do that 😉 keeps the car happy 😎,en,[],[],https://twitter.com/BMW/status/1508664287019077637,[],[],0,,1,0,0
115,1.51E+18,BMW,1.65E+12,29/3/2022 12:34,,"@AdamHayNicholls Oh we remember 😍 Great choice Adam, thanks for finding and sharing this one 👏",en,[],[],https://twitter.com/BMW/status/1508663887784292355,[],[],0,,3,0,0
116,1.51E+18,BMW,1.65E+12,29/3/2022 12:33,,@trulsulriks Beautiful from every angle! 😍,en,[],[],https://twitter.com/BMW/status/1508663563778510855,[],[],0,,1,0,0
117,1.51E+18,BMW,1.65E+12,29/3/2022 12:31,1,@EDWYER76 It is literally impossible for us to disagree 😆 Beautiful car 😍,en,[],[],https://twitter.com/BMW/status/1508663216829878274,[],[],0,,1,0,0
118,1.51E+18,BMW,1.65E+12,29/3/2022 12:28,,"@RobertDubya32 We may say this a lot, but we actually CANNOT take our eyes away this time 🔥Thanks Robert!",en,[],[],https://twitter.com/BMW/status/1508662439361064971,[],[],0,,1,0,0
119,1.51E+18,BMW,1.65E+12,29/3/2022 12:26,,@BMW_Monica We could never expect you to choose anything except your own baby 😍,en,[],[],https://twitter.com/BMW/status/1508661966277156868,[],[],0,,1,0,0
120,1.51E+18,BMW,1.65E+12,29/3/2022 12:25,,@aseembhuri Oh hello 👀😍,en,[],[],https://twitter.com/BMW/status/1508661708121952260,[],[],0,,0,0,0
121,1.51E+18,BMW,1.65E+12,29/3/2022 12:24,,@Nour62215866 We have no choice but to agree with you after looking at that shot 🔥🔥,en,[],[],https://twitter.com/BMW/status/1508661331146072067,[],[],0,,1,0,0
122,1.51E+18,BMW,1.65E+12,29/3/2022 12:23,,@gigisozzo 3rd time today we've seen this one 😍 it's loved by many 💙 Thanks for sharing Gigi! 👏,en,[],[],https://twitter.com/BMW/status/1508661041722441729,[],[],0,,0,0,0
123,1.51E+18,BMW,1.65E+12,29/3/2022 12:20,,"@RdgButler Oli, we couldn't agree more 🤤 Thanks so much for sharing this with everyone 👏",en,[],[],https://twitter.com/BMW/status/1508660307731881986,[],[],0,,0,0,0
124,1.51E+18,BMW,1.65E+12,29/3/2022 12:18,,@armwaypaul Guaranteed to turn every head 🔥,en,[],[],https://twitter.com/BMW/status/1508659918026555399,[],[],0,,1,0,0
125,1.51E+18,BMW,1.65E+12,29/3/2022 12:17,,@dgro__ Love at first sight? 💙 Great choice Brandon 👏👏,en,[],[],https://twitter.com/BMW/status/1508659515750850563,[],[],0,,1,1,0
127,1.51E+18,BMW,1.65E+12,29/3/2022 12:15,,@harolapsteel You win 😎,en,[],[],https://twitter.com/BMW/status/1508659079375462401,[],[],0,,0,1,0
128,1.51E+18,BMW,1.65E+12,29/3/2022 12:13,,"@ibrhm_dzgn One of the most popular choices today, and with good reason 🔥Thanks for sharing this with us Ibrahim 👏",en,[],[],https://twitter.com/BMW/status/1508658701917372419,[],[],0,,1,0,0
129,1.51E+18,BMW,1.65E+12,29/3/2022 12:13,,@SaintCroal Oh you definitely don't need to convince us 😍,en,[],[],https://twitter.com/BMW/status/1508658466751197186,[],[],0,,1,0,0
130,1.51E+18,BMW,1.65E+12,29/3/2022 12:11,,"@PeteShakeshaft Beautiful, thanks Peter 👏 We feel like reaching through the screen and touching it! 😍",en,[],[],https://twitter.com/BMW/status/1508658093873414147,[],[],0,,0,0,0
131,1.51E+18,BMW,1.65E+12,29/3/2022 12:09,,@warwick512 One of the best side profile shots of the day 👏 thanks Warwick!,en,[],[],https://twitter.com/BMW/status/1508657627571625991,[],[],0,,1,0,1
132,1.51E+18,BMW,1.65E+12,29/3/2022 12:08,,@BimmersDaily_ And you even decided to spoil everyone with a view 😜 we could stare at this side profile for a looong time... 👌,en,[],[],https://twitter.com/BMW/status/1508657374130847748,[],[],0,,2,0,1
134,1.51E+18,BMW,1.65E+12,29/3/2022 12:06,,@jay07111 Absolutely no argument here 😍 Thanks for sharing Jay! 👏,en,[],[],https://twitter.com/BMW/status/1508656924102905857,[],[],0,,0,0,0
135,1.51E+18,_pallavighosh,1.65E+12,29/3/2022 12:06,-1,@Iyervval @AdvaitaKala And if u hadn’t been  showing off your borrowed BMW to go for free dinner at some 5star this  wouldn’t have happened too,en,[],[],https://twitter.com/_pallavighosh/status/1508656695467474946,[],[],0,,30,4,0
136,1.51E+18,BMW,1.65E+12,29/3/2022 12:05,,@MakotoSan1337 This one was always going to feature prominently today 😎,en,[],[],https://twitter.com/BMW/status/1508656588311212035,[],[],0,,0,0,0
137,1.51E+18,BMW,1.65E+12,29/3/2022 12:03,1,"@AuctusOps Now we're talking 😍 Beauty and the beast all in one car 💙 and if you think you are biased, imagine how we feel 😆",en,[],[],https://twitter.com/BMW/status/1508656005114122241,[],[],0,,3,0,0
138,1.51E+18,BMW,1.65E+12,29/3/2022 12:01,,@itbethesteve We actually feel like reaching through the screen and touching it 😆 Thanks for sharing Stephen! 👏,en,[],[],https://twitter.com/BMW/status/1508655632295075841,[],[],0,,0,0,0
140,1.51E+18,BMW,1.65E+12,29/3/2022 12:00,1,@classicmuffinn We can literally feel the love for it through that shot 😍,en,[],[],https://twitter.com/BMW/status/1508655249984299014,[],[],0,,0,0,0
141,1.51E+18,BMW,1.65E+12,29/3/2022 11:59,,@gmoodyxcv We never tire of looking at those details 🔥 Thanks for sharing Gary! 👏,en,[],[],https://twitter.com/BMW/status/1508655024049688582,[],[],0,,2,0,0
